货箱编号,物资类型,架次编号,服务区编号,是否首批保障,期望送达时间（s）,首批截止时间（s）,交付完成时刻（s）,期望时间迟到（s）,硬时限检查
S001-WAT-02,饮用水,Q2-001,S001,False,3600.0,,1314.8983708492733,0.0,无需硬时限
S001-WAT-03,饮用水,Q2-001,S001,False,3600.0,,1314.8983708492733,0.0,无需硬时限
S001-WAT-04,饮用水,Q2-001,S001,False,3600.0,,1314.8983708492733,0.0,无需硬时限
S001-FOD-01,应急食品,Q2-001,S001,False,7200.0,,1314.8983708492733,0.0,无需硬时限
S001-FOD-02,应急食品,Q2-001,S001,False,7200.0,,1314.8983708492733,0.0,无需硬时限
S001-FOD-03,应急食品,Q2-001,S001,False,7200.0,,1314.8983708492733,0.0,无需硬时限
S001-HYG-01,生活卫生用品,Q2-001,S001,False,10800.0,,1314.8983708492733,0.0,无需硬时限
S001-HYG-02,生活卫生用品,Q2-001,S001,False,10800.0,,1314.8983708492733,0.0,无需硬时限
S001-WAT-05,饮用水,Q2-002,S001,False,3600.0,,1050.8983708492733,0.0,无需硬时限
S001-WAT-06,饮用水,Q2-002,S001,False,3600.0,,1050.8983708492733,0.0,无需硬时限
S001-WAT-07,饮用水,Q2-002,S001,False,3600.0,,1050.8983708492733,0.0,无需硬时限
S001-WAT-08,饮用水,Q2-002,S001,False,3600.0,,1050.8983708492733,0.0,无需硬时限
S011-MED-01,医疗物资,Q2-003,S011,True,10800.0,10800.0,845.5260700068523,0.0,医疗期望送达:是;首批截止:是
S011-WAT-01,饮用水,Q2-003,S011,True,10800.0,10800.0,845.5260700068523,0.0,首批截止:是
S011-FOD-01,应急食品,Q2-004,S011,False,14400.0,,785.5260700068523,0.0,无需硬时限
S001-MED-01,医疗物资,Q2-005,S001,True,3600.0,3600.0,1984.9810758450742,0.0,医疗期望送达:是;首批截止:是
S001-MED-02,医疗物资,Q2-005,S001,False,3600.0,,1984.9810758450742,0.0,医疗期望送达:是
S001-WAT-01,饮用水,Q2-005,S001,True,3600.0,3600.0,1984.9810758450742,0.0,首批截止:是
S006-WAT-02,饮用水,Q2-006,S006,False,3600.0,,2440.5036843355283,0.0,无需硬时限
S006-WAT-03,饮用水,Q2-006,S006,False,3600.0,,2440.5036843355283,0.0,无需硬时限
S006-FOD-01,应急食品,Q2-006,S006,False,7200.0,,2440.5036843355283,0.0,无需硬时限
S006-HYG-01,生活卫生用品,Q2-006,S006,False,10800.0,,2440.5036843355283,0.0,无需硬时限
S006-MED-01,医疗物资,Q2-007,S006,True,3600.0,3600.0,2008.7327760914413,0.0,医疗期望送达:是;首批截止:是
S006-WAT-01,饮用水,Q2-007,S006,True,3600.0,3600.0,2008.7327760914413,0.0,首批截止:是
S013-MED-01,医疗物资,Q2-008,S013,True,3600.0,3600.0,3279.7704824061097,0.0,医疗期望送达:是;首批截止:是
S013-WAT-01,饮用水,Q2-008,S013,True,3600.0,3600.0,3279.7704824061097,0.0,首批截止:是
S013-FOD-01,应急食品,Q2-009,S013,False,7200.0,,3275.993882898844,0.0,无需硬时限
S010-MED-01,医疗物资,Q2-010,S010,True,3600.0,3600.0,1104.4634512744037,0.0,医疗期望送达:是;首批截止:是
S010-WAT-01,饮用水,Q2-010,S010,True,3600.0,3600.0,1104.4634512744037,0.0,首批截止:是
S010-FOD-01,应急食品,Q2-011,S010,False,7200.0,,4688.483806542564,0.0,无需硬时限
S009-MED-01,医疗物资,Q2-012,S009,True,10800.0,10800.0,4759.417515075997,0.0,医疗期望送达:是;首批截止:是
S009-WAT-01,饮用水,Q2-012,S009,True,10800.0,10800.0,4759.417515075997,0.0,首批截止:是
S009-FOD-01,应急食品,Q2-013,S009,False,14400.0,,6130.213154730172,0.0,无需硬时限
S005-MED-01,医疗物资,Q2-014,S005,True,10800.0,10800.0,6270.4867374522655,0.0,医疗期望送达:是;首批截止:是
S005-WAT-01,饮用水,Q2-014,S005,True,10800.0,10800.0,6270.4867374522655,0.0,首批截止:是
S007-MED-01,医疗物资,Q2-015,S007,True,3600.0,3600.0,1133.8613397248662,0.0,医疗期望送达:是;首批截止:是
S007-WAT-01,饮用水,Q2-015,S007,True,3600.0,3600.0,1133.8613397248662,0.0,首批截止:是
S005-WAT-02,饮用水,Q2-016,S005,False,10800.0,,2870.0845502465727,0.0,无需硬时限
