货箱编号,架次编号,服务区编号,交付完成时刻（s）
S004-MED-01,P00009,S004,5624.824
S004-WAT-01,P00009,S004,5624.824
S004-WAT-02,P00009,S004,5624.824
S004-WAT-03,P00009,S004,5624.824
S004-FOD-01,P00009,S004,5624.824
S004-HYG-01,P00009,S004,5624.824
S005-MED-01,P00010,S005,3533.874
S005-WAT-01,P00010,S005,3533.874
S005-WAT-02,P00010,S005,3533.874
S005-WAT-03,P00010,S005,3533.874
S005-FOD-01,P00010,S005,3533.874
S005-HYG-01,P00010,S005,3533.874
S006-MED-01,P00011,S006,1209.077
S006-WAT-01,P00011,S006,1209.077
S006-WAT-02,P00011,S006,1209.077
S006-WAT-03,P00011,S006,1209.077
S006-FOD-01,P00011,S006,1209.077
S006-HYG-01,P00011,S006,1209.077
S009-MED-01,P00014,S009,2992.599
S009-WAT-01,P00014,S009,2992.599
S009-FOD-01,P00014,S009,2992.599
S011-MED-01,P00018,S011,6197.975
S011-WAT-01,P00018,S011,6197.975
S011-FOD-01,P00018,S011,6197.975
S012-MED-01,P00020,S012,1328.384
S012-WAT-01,P00020,S012,1328.384
S012-FOD-01,P00020,S012,1328.384
S014-MED-01,P00024,S014,1241.856
S014-WAT-01,P00024,S014,1241.856
S014-FOD-01,P00024,S014,1241.856
S015-MED-01,P00026,S015,4679.626
S015-WAT-01,P00026,S015,4679.626
S015-FOD-01,P00026,S015,4679.626
S008-MED-01,P00028,S008,3646.29
S008-WAT-01,P00028,S008,3646.29
S008-FOD-01,P00028,S008,3646.29
S008-WAT-02,P00030,S008,5552.18
S008-HYG-01,P00030,S008,5552.18
S001-MED-01,P00032,S001,3336.967
S001-MED-02,P00032,S001,3336.967
S001-WAT-01,P00032,S001,3336.967
S001-WAT-02,P00035,S001,1314.898
S001-WAT-03,P00035,S001,1314.898
S001-WAT-04,P00035,S001,1314.898
S001-FOD-01,P00035,S001,1314.898
S001-FOD-02,P00035,S001,1314.898
S001-FOD-03,P00035,S001,1314.898
S001-HYG-01,P00035,S001,1314.898
S001-HYG-02,P00035,S001,1314.898
S002-MED-01,P00037,S002,2478.278
S002-WAT-01,P00037,S002,2478.278
S002-WAT-02,P00040,S002,3049.778
S002-WAT-03,P00040,S002,3049.778
S002-WAT-04,P00040,S002,3049.778
S002-FOD-01,P00040,S002,3049.778
S002-FOD-02,P00040,S002,3049.778
S002-HYG-01,P00040,S002,3049.778
S003-MED-01,P00041,S003,5379.713
S003-WAT-01,P00041,S003,5379.713
S003-WAT-02,P00044,S003,5317.237
S003-WAT-03,P00044,S003,5317.237
S003-WAT-04,P00044,S003,5317.237
S003-FOD-01,P00044,S003,5317.237
S003-FOD-02,P00044,S003,5317.237
S003-HYG-01,P00044,S003,5317.237
S007-MED-01,P00057,S007,1209.96
S007-WAT-01,P00057,S007,1209.96
S010-MED-01,P00071,S010,2296.935
S010-WAT-01,P00071,S010,2296.935
S013-MED-01,P00089,S013,3129.344
S013-WAT-01,P00089,S013,3129.344
S010-FOD-01,P00107,S010,1483.125
S013-FOD-01,P00107,S013,1076.067
S001-WAT-05,P00137,S001,849.359
S001-WAT-06,P00140,S001,4049.563
S001-WAT-07,P00143,S001,5572.743
S001-WAT-08,P00146,S001,849.359
S007-WAT-02,P00272,S007,3927.624
S007-FOD-01,P00275,S007,5627.69
S007-HYG-01,P00278,S007,5627.69
