架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
P00009,U08,C,C-B02,4039.261,O01→S004→O01,6344.447,6.176859
P00010,U08,C,C-B04,2159.216,O01→S005→O01,4039.261,4.238735
P00011,U07,C,C-B01,0,O01→S006→O01,1560.864,2.593935
P00014,U05,B,B-B03,1900.62,O01→S009→O01,3461.399,2.102431
P00018,U05,B,B-B03,5290.973,O01→S011→O01,6480.604,1.077146
P00020,U06,B,B-B02,56.554,O01→S012→O01,1980.355,2.755193
P00024,U05,B,B-B01,0,O01→S014→O01,1868.598,2.137233
P00026,U05,B,B-B01,3461.399,O01→S015→O01,5290.973,2.310846
P00028,U06,B,B-B04,2353.119,O01→S008→O01,4319.009,2.98598
P00030,U06,B,B-B02,4319.009,O01→S008→O01,6224.899,2.773426
P00032,U03,A,A-B01,2367.608,O01→S001→O01,3680.079,1.268
P00035,U08,C,C-B02,0,O01→S001→O01,1627.427,3.004662
P00037,U02,A,A-B06,1192.472,O01→S002→O01,3200.204,2.929106
P00040,U07,C,C-B03,1560.864,O01→S002→O01,3671.872,6.124988
P00041,U03,A,A-B05,3970.6,O01→S003→O01,6232.879,2.981108
P00044,U07,C,C-B01,3671.872,O01→S003→O01,6107.683,6.147682
P00057,U04,A,A-B04,68.661,O01→S007→O01,1795.979,1.905043
P00071,U01,A,A-B05,1192.472,O01→S010→O01,2846.325,1.9525
P00089,U04,A,A-B02,2045.798,O01→S013→O01,3657.822,1.957713
P00107,U03,A,A-B03,22.521,O01→S013→S010→O01,2032.515,2.246366
P00137,U01,A,A-B01,0,O01→S001→O01,1192.472,1.223053
P00140,U02,A,A-B03,3200.204,O01→S001→O01,4392.676,1.223053
P00143,U02,A,A-B02,4723.384,O01→S001→O01,5915.856,1.223053
P00146,U02,A,A-B02,0,O01→S001→O01,1192.472,1.223053
P00272,U01,A,A-B04,2846.325,O01→S007→O01,4513.644,1.872254
P00275,U04,A,A-B01,4546.39,O01→S007→O01,6213.709,1.81953
P00278,U01,A,A-B06,4546.39,O01→S007→O01,6213.709,1.805619
