架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,起飞时刻（s）,返回O01时刻（s）,访问服务区顺序,架次能耗（kWh）,返航SOC（%）,逐箱交付数,电池充电完成时刻（s）
P00003,U06,B,B-B02,32.0,422.0,1851.8900418657418,S002,2.72189802120557,31.95254946986075,3,3698.0458510548224
P00005,U08,C,C-B02,0.0,450.0,2045.0081265825384,S002,5.739333605245894,28.258329934426328,5,4432.744311336634
P00009,U07,C,C-B02,4643.0,5123.0,6948.185491467791,S004,6.176858606791459,22.789267415106764,6,9454.418030807145
P00010,U08,C,C-B04,5038.0,5518.0,6918.045617096052,S005,4.238735064547415,47.01581169315732,6,8899.369697077644
P00011,U07,C,C-B01,0.0,480.0,1560.8638852739632,S006,2.593934934324972,67.57581332093785,6,3096.72126332031
P00014,U05,B,B-B01,3661.0,4051.0,5221.77979054711,S009,2.102431078237294,47.439223044067646,3,6799.499924449938
P00018,U05,B,B-B01,0.0,390.0,1189.6308045644855,S011,1.0771461381899774,73.07134654525056,3,2323.060797780143
P00024,U05,B,B-B03,1190.0,1580.0,3058.5984478690452,S014,2.1372327174195584,46.56918206451104,3,4651.399292084187
P00026,U06,B,B-B04,1852.0,2242.0,3681.5741010160095,S015,2.3108457316251445,42.228856709371385,3,5349.607251386906
P00028,U06,B,B-B02,4833.0,5223.0,6798.890111994297,S008,2.9859801601513647,25.350495996215884,3,8759.481514726554
P00030,U05,B,B-B03,5222.0,5582.0,7127.890111994297,S008,2.7734260330711873,30.664349173220316,2,8996.374726325144
P00032,U03,A,A-B03,1.0,391.0,1313.4715825390365,S001,1.2679999605907624,71.82222309798306,3,2179.782682265257
P00035,U08,C,C-B01,3410.0,3950.0,5037.426741698547,S001,3.004662059347582,62.44172425815522,8,6684.522716105184
P00036,U08,C,C-B04,2046.0,2466.0,3409.4267416985467,S001,2.4121359166308616,69.84830104211423,4,4896.046885786072
P00041,U01,A,A-B05,1724.0,2084.0,3986.278664396717,S003,2.98110828373102,33.75314925042178,2,5347.487724141234
P00044,U07,C,C-B03,1679.0,2159.0,4114.810858112425,S003,6.1476824567455175,23.153969290681033,6,6613.141523481003
P00057,U02,A,A-B06,2059.0,2419.0,3786.3186397361906,S007,1.9050428648829452,57.665714113712326,2,4836.66435625793
P00071,U02,A,A-B02,0.0,360.0,1653.8535692154742,S010,1.9524999797660452,56.61111156075456,2,2717.909118925665
P00083,U04,A,A-B04,1.0,361.0,2111.416386028363,S012,2.9610218101255965,34.1995153305423,2,3466.8226867313133
P00086,U04,A,A-B04,5411.0,5741.0,7461.4163860283625,S012,2.8331057878464883,37.042093603411374,1,8779.869169184014
P00089,U01,A,A-B01,0.0,360.0,1612.0245081229918,S013,1.9577132427346737,56.495261272562814,2,2677.586111579675
P00107,U03,A,A-B03,5389.0,5749.0,7398.993455329423,S013→S010,2.2463659463996954,50.08075674667343,2,8547.943617622668
P00272,U03,A,A-B03,2181.0,2511.0,3848.3186397361906,S007,1.8722535568068988,58.394365404291136,1,4889.191889480406
P00275,U01,A,A-B02,4803.0,5133.0,6470.318639736191,S007,1.8195296211705392,59.56600841843247,1,7495.960530296568
P00278,U02,A,A-B01,4803.0,5133.0,6470.318639736191,S007,1.8056190044402682,59.8751332346607,1,7491.941907685601
