货箱编号,物资类型,架次编号,服务区编号,是否首批保障,期望送达时间（s）,首批截止时间（s）,交付完成时刻（s）,期望时间迟到（s）,硬时限检查
S001-MED-01,医疗物资,Q23-001,S001,True,3600.0,3600.0,2809.8983708492733,0.0,医疗期望送达:是;首批截止:是
S001-MED-02,医疗物资,Q23-001,S001,False,3600.0,,2809.8983708492733,0.0,医疗期望送达:是
S001-WAT-01,饮用水,Q23-001,S001,True,3600.0,3600.0,2809.8983708492733,0.0,首批截止:是
S001-WAT-02,饮用水,Q23-001,S001,False,3600.0,,2809.8983708492733,0.0,无需硬时限
S001-WAT-03,饮用水,Q23-001,S001,False,3600.0,,2809.8983708492733,0.0,无需硬时限
S001-WAT-04,饮用水,Q23-001,S001,False,3600.0,,2809.8983708492733,0.0,无需硬时限
S001-WAT-05,饮用水,Q23-001,S001,False,3600.0,,2809.8983708492733,0.0,无需硬时限
S001-WAT-06,饮用水,Q23-002,S001,False,3600.0,,4437.898370849273,837.8983708492733,无需硬时限
S001-WAT-07,饮用水,Q23-002,S001,False,3600.0,,4437.898370849273,837.8983708492733,无需硬时限
S001-WAT-08,饮用水,Q23-002,S001,False,3600.0,,4437.898370849273,837.8983708492733,无需硬时限
S001-FOD-01,应急食品,Q23-002,S001,False,7200.0,,4437.898370849273,0.0,无需硬时限
S001-FOD-02,应急食品,Q23-002,S001,False,7200.0,,4437.898370849273,0.0,无需硬时限
S001-FOD-03,应急食品,Q23-002,S001,False,7200.0,,4437.898370849273,0.0,无需硬时限
S001-HYG-01,生活卫生用品,Q23-002,S001,False,10800.0,,4437.898370849273,0.0,无需硬时限
S001-HYG-02,生活卫生用品,Q23-002,S001,False,10800.0,,4437.898370849273,0.0,无需硬时限
S002-MED-01,医疗物资,Q23-003,S002,True,3600.0,3600.0,2776.8850209328707,0.0,医疗期望送达:是;首批截止:是
S002-WAT-01,饮用水,Q23-003,S002,True,3600.0,3600.0,2776.8850209328707,0.0,首批截止:是
S002-FOD-01,应急食品,Q23-003,S002,False,7200.0,,2776.8850209328707,0.0,无需硬时限
S002-WAT-02,饮用水,Q23-004,S002,False,3600.0,,6173.9140632912695,2573.9140632912695,无需硬时限
S002-WAT-03,饮用水,Q23-004,S002,False,3600.0,,6173.9140632912695,2573.9140632912695,无需硬时限
S002-WAT-04,饮用水,Q23-004,S002,False,3600.0,,6173.9140632912695,2573.9140632912695,无需硬时限
S002-FOD-02,应急食品,Q23-004,S002,False,7200.0,,6173.9140632912695,0.0,无需硬时限
S002-HYG-01,生活卫生用品,Q23-004,S002,False,10800.0,,6173.9140632912695,0.0,无需硬时限
S003-MED-01,医疗物资,Q23-005,S003,True,7200.0,7200.0,6689.094739358947,0.0,医疗期望送达:是;首批截止:是
S003-WAT-01,饮用水,Q23-005,S003,True,7200.0,7200.0,6689.094739358947,0.0,首批截止:是
S003-FOD-01,应急食品,Q23-005,S003,False,10800.0,,6689.094739358947,0.0,无需硬时限
S003-WAT-02,饮用水,Q23-006,S003,False,7200.0,,7817.365429056213,617.3654290562126,无需硬时限
S003-WAT-03,饮用水,Q23-006,S003,False,7200.0,,7817.365429056213,617.3654290562126,无需硬时限
S003-WAT-04,饮用水,Q23-006,S003,False,7200.0,,7817.365429056213,617.3654290562126,无需硬时限
S003-FOD-02,应急食品,Q23-006,S003,False,10800.0,,7817.365429056213,0.0,无需硬时限
S003-HYG-01,生活卫生用品,Q23-006,S003,False,14400.0,,7817.365429056213,0.0,无需硬时限
S004-MED-01,医疗物资,Q23-007,S004,True,7200.0,7200.0,5517.562745733895,0.0,医疗期望送达:是;首批截止:是
S004-WAT-01,饮用水,Q23-007,S004,True,7200.0,7200.0,5517.562745733895,0.0,首批截止:是
S004-WAT-02,饮用水,Q23-007,S004,False,7200.0,,5517.562745733895,0.0,无需硬时限
S004-WAT-03,饮用水,Q23-007,S004,False,7200.0,,5517.562745733895,0.0,无需硬时限
S004-FOD-01,应急食品,Q23-007,S004,False,10800.0,,5517.562745733895,0.0,无需硬时限
S004-HYG-01,生活卫生用品,Q23-007,S004,False,14400.0,,5517.562745733895,0.0,无需硬时限
S005-MED-01,医疗物资,Q23-008,S005,True,10800.0,10800.0,8171.657808548026,0.0,医疗期望送达:是;首批截止:是
S005-WAT-01,饮用水,Q23-008,S005,True,10800.0,10800.0,8171.657808548026,0.0,首批截止:是
S005-WAT-02,饮用水,Q23-008,S005,False,10800.0,,8171.657808548026,0.0,无需硬时限
S005-WAT-03,饮用水,Q23-008,S005,False,10800.0,,8171.657808548026,0.0,无需硬时限
S005-FOD-01,应急食品,Q23-008,S005,False,14400.0,,8171.657808548026,0.0,无需硬时限
S005-HYG-01,生活卫生用品,Q23-008,S005,False,18000.0,,8171.657808548026,0.0,无需硬时限
S006-MED-01,医疗物资,Q23-009,S006,True,3600.0,3600.0,1209.0769426369816,0.0,医疗期望送达:是;首批截止:是
S006-WAT-01,饮用水,Q23-009,S006,True,3600.0,3600.0,1209.0769426369816,0.0,首批截止:是
S006-WAT-02,饮用水,Q23-009,S006,False,3600.0,,1209.0769426369816,0.0,无需硬时限
S006-WAT-03,饮用水,Q23-009,S006,False,3600.0,,1209.0769426369816,0.0,无需硬时限
S006-FOD-01,应急食品,Q23-009,S006,False,7200.0,,1209.0769426369816,0.0,无需硬时限
S006-HYG-01,生活卫生用品,Q23-009,S006,False,10800.0,,1209.0769426369816,0.0,无需硬时限
