sortie,name,start_s,end_s,start_node,end_node,start_altitude_m,end_altitude_m
P00009,leg1-climb,2615.0,2723.215666503906,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",127.7,398.2391662597656
P00009,leg1-cruise,2723.215666503906,3239.5931626040124,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}",398.2391662597656,398.2391662597656
P00009,leg1-descent,3239.5931626040124,3324.562745733895,"{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}","{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}",398.2391662597656,228.3
P00009,S004-handoff,3324.562745733895,3720.562745733895,"{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}","{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}",228.3,228.3
P00009,leg2-climb,3720.562745733895,3788.5384122378014,"{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}","{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}",228.3,398.2391662597656
P00009,leg2-cruise,3788.5384122378014,4304.915908337907,"{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",398.2391662597656,398.2391662597656
P00009,leg2-descent,4304.915908337907,4440.18549146779,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",398.2391662597656,127.7
P00010,leg1-climb,5108.0,5187.48435546875,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",127.7,326.410888671875
P00010,leg1-cruise,5187.48435546875,5540.952364212089,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'S005', 'longitude': 109.2283003, 'latitude': 23.0561338, 'elevation_m': 165.0}",326.410888671875,326.410888671875
P00010,leg1-descent,5540.952364212089,5606.657808548027,"{'code': 'S005', 'longitude': 109.2283003, 'latitude': 23.0561338, 'elevation_m': 165.0}","{'code': 'S005', 'longitude': 109.2283003, 'latitude': 23.0561338, 'elevation_m': 165.0}",326.410888671875,195.0
