架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,去程能耗（kWh）,返程能耗（kWh）,往返能耗（kWh）,去程时间（s）,返程时间（s）,作业时间（s）,返航SOC（%）,允许返航SOC（%）,可行状态
Q1-001,S001,C,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05",76.0,0.159,1.960097224278739,0.9661401666331395,2.9262373909118784,306.8983708492734,312.5283708492734,1561.4267416985467,63.42203261360152,20.0,可行
Q1-002,S001,C,"S001-WAT-06,S001-WAT-07,S001-WAT-08,S001-FOD-01,S001-FOD-02,S001-FOD-03,S001-HYG-01,S001-HYG-02",78.0,0.23500000000000001,2.0385218927144426,0.9661401666331395,3.004662059347582,306.8983708492734,312.5283708492734,1627.4267416985467,62.44172425815522,20.0,可行
Q1-003,S002,B,"S002-MED-01,S002-WAT-01,S002-FOD-01",25.0,0.067,1.6377165229141144,1.0841814982914557,2.72189802120557,591.8850209328708,598.0050209328709,1819.8900418657418,31.95254946986075,20.0,可行
Q1-004,S002,C,"S002-WAT-02,S002-WAT-03,S002-WAT-04,S002-FOD-02,S002-HYG-01",56.0,0.14400000000000002,3.4278983717303846,2.311435233515509,5.739333605245894,612.9140632912693,622.0940632912692,2045.0081265825384,28.258329934426328,20.0,可行
Q1-005,S003,B,"S003-MED-01,S003-WAT-01,S003-FOD-01",25.0,0.067,1.6868896659323094,1.092212119325507,2.7791017852578164,718.0947393589472,732.1480726922805,2080.2428120512277,30.522455368554592,20.0,可行
Q1-006,S003,C,"S003-WAT-02,S003-WAT-03,S003-WAT-04,S003-FOD-02,S003-HYG-01",56.0,0.14400000000000002,3.470049078968119,2.293232499930845,5.7632815788989635,769.3654290562129,790.4454290562128,2369.8108581124256,27.958980263762957,20.0,可行
Q1-007,S004,C,"S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01",59.0,0.156,3.7486354476344226,2.4282231591570365,6.176858606791459,709.5627457338954,719.6227457338954,2305.1854914677906,22.789267415106764,20.0,可行
Q1-008,S005,C,"S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-FOD-01,S005-HYG-01",59.0,0.156,2.5725911024402275,1.6661439621071876,4.238735064547415,498.6578085480262,505.3878085480262,1880.0456170960524,47.01581169315732,20.0,可行
Q1-009,S006,C,"S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-HYG-01",59.0,0.156,1.6015891389100607,0.9923457954149114,2.593934934324972,333.0769426369817,351.7869426369816,1560.8638852739632,67.57581332093785,20.0,可行
Q1-010,S007,C,"S007-MED-01,S007-WAT-01,S007-WAT-02,S007-FOD-01,S007-HYG-01",45.0,0.129,1.972119623209076,1.438256369238559,3.4103759924476353,537.7010507431091,559.7810507431091,1907.4821014862182,57.370300094404556,20.0,可行
Q1-011,S008,C,"S008-MED-01,S008-WAT-01,S008-WAT-02,S008-FOD-01,S008-HYG-01",45.0,0.129,3.3352513941146174,2.5222000841427805,5.857451478257397,689.7199447097137,704.0399447097136,2203.759889419427,26.781856521782533,20.0,可行
Q1-012,S009,B,"S009-MED-01,S009-WAT-01,S009-FOD-01",25.0,0.067,1.2693558680147266,0.8330752102225674,2.102431078237294,461.979895273555,468.799895273555,1560.77979054711,47.439223044067646,20.0,可行
Q1-013,S010,B,"S010-MED-01,S010-WAT-01,S010-FOD-01",25.0,0.067,1.1177036227738857,0.7033007832334791,1.821004406007365,454.82278624738757,469.74945291405425,1554.5722391614418,54.47488984981588,20.0,可行
Q1-014,S011,B,"S011-MED-01,S011-WAT-01,S011-FOD-01",25.0,0.067,0.6542199164059718,0.4229262217840056,1.0771461381899774,277.0020689489095,282.62873561557615,1189.6308045644855,73.07134654525056,20.0,可行
Q1-015,S012,B,"S012-MED-01,S012-WAT-01,S012-FOD-01",25.0,0.067,1.6654411477339581,1.0897523225105272,2.7551934702444854,641.8307003260587,651.9707003260587,1923.8014006521175,31.120163243887866,20.0,可行
Q1-016,S013,B,"S013-MED-01,S013-WAT-01,S013-FOD-01",25.0,0.067,1.1201844445611484,0.7043492980549264,1.8245337426160748,432.7338040629988,447.6671373963321,1510.4009414593309,54.38665643459812,20.0,可行
Q1-017,S014,B,"S014-MED-01,S014-WAT-01,S014-FOD-01",25.0,0.067,1.3049900720879226,0.8322426453316359,2.1372327174195584,611.8558906011892,626.7425572678559,1868.5984478690452,46.56918206451104,20.0,可行
Q1-018,S015,B,"S015-MED-01,S015-WAT-01,S015-FOD-01",25.0,0.067,1.4270441918581558,0.8838015397669887,2.3108457316251445,588.2270505080047,611.3470505080047,1829.5741010160095,42.228856709371385,20.0,可行
