架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,准备完成时刻（s）,装载完成/起飞时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,质量（kg）,体积（m³）,返航SOC（%）
P00026,U05,B,B-B01,0.0,300.0,390.0,S015,1829.5741010160095,2.3108457316251445,25.0,0.067,42.228856709371385
P00030,U06,B,B-B02,0.0,300.0,360.0,S008,1905.890111994297,2.7734260330711873,20.0,0.062,30.664349173220316
P00052,U08,C,C-B02,0.0,300.0,420.0,S005,1748.0456170960524,3.801896648845467,42.0,0.117,52.47629188943166
P00057,U04,A,A-B04,0.0,300.0,360.0,S007,1727.3186397361908,1.9050428648829452,17.0,0.039,57.665714113712326
P00071,U03,A,A-B03,0.0,300.0,360.0,S010,1653.8535692154742,1.9524999797660452,17.0,0.039,56.61111156075456
P00134,U01,A,A-B01,0.0,300.0,330.0,S001,1192.4715825390365,1.22305291301593,14.0,0.027,72.82104637742377
P00355,U02,A,A-B02,0.0,300.0,360.0,S001,1252.4715825390365,1.286052154451219,22.0,0.055,71.42106323441736
P00417,U07,C,C-B01,0.0,300.0,510.0,S001,1561.4267416985467,2.7284498700068047,70.0,0.20700000000000002,65.89437662491494
P00089,U01,A,A-B05,1192.4715825390365,1492.4715825390365,1552.4715825390365,S013,2804.496090662028,1.9577132427346737,17.0,0.039,56.495261272562814
P00032,U02,A,A-B06,1252.4715825390365,1552.4715825390365,1642.4715825390365,S001,2564.943165078073,1.2679999605907624,20.0,0.051000000000000004,71.82222309798306
P00118,U07,C,C-B03,1561.4267416985467,1861.4267416985467,2071.4267416985467,S006→S007,3975.2061545193346,4.28806196620504,70.0,0.20700000000000002,46.399225422437
P00040,U08,C,C-B04,1748.0456170960524,2048.0456170960524,2228.0456170960524,S002,3859.0537436785908,6.12498843027008,64.0,0.17200000000000001,23.437644621624
P00020,U05,B,B-B03,1829.5741010160095,2129.5741010160095,2219.5741010160095,S012,3753.375501668127,2.7551934702444854,25.0,0.067,31.120163243887866
P00024,U06,B,B-B04,1905.890111994297,2205.890111994297,2295.890111994297,S014,3774.4885598633423,2.1372327174195584,25.0,0.067,46.56918206451104
P00053,U03,A,A-B01,2045.7979796325276,2345.7979796325276,2405.7979796325276,S006,3358.4136953965312,1.3095542466968424,17.0,0.039,70.89879451784795
P00037,U04,A,A-B02,2123.9977604916107,2423.9977604916107,2483.9977604916107,S002,4131.730419635312,2.9291056520786074,17.0,0.039,34.90876328714205
P00131,U02,A,A-B03,2717.909118925665,3017.909118925665,3047.909118925665,S001,3910.380701464702,1.22305291301593,14.0,0.027,72.82104637742377
P00128,U01,A,A-B04,2804.496090662028,3104.496090662028,3134.496090662028,S001,3996.967673201065,1.22305291301593,14.0,0.027,72.82104637742377
P00049,U03,A,A-B06,3431.254264804293,3731.254264804293,3791.254264804293,S005,5127.013590048056,2.129487386151858,17.0,0.039,52.678058085514266
P00028,U05,B,B-B01,3753.375501668127,4053.375501668127,4143.375501668127,S008,5719.265613662425,2.9859801601513647,25.0,0.067,25.350495996215884
P00014,U06,B,B-B02,3774.4885598633423,4074.4885598633423,4164.488559863343,S009,5335.2683504104525,2.102431078237294,25.0,0.067,47.439223044067646
P00044,U08,C,C-B01,3859.0537436785908,4159.053743678591,4339.053743678591,S003,6294.864601791016,6.1476824567455175,64.0,0.17200000000000001,23.153969290681033
P00041,U02,A,A-B05,3910.380701464702,4210.380701464702,4270.380701464702,S003,6172.659365861418,2.98110828373102,17.0,0.039,33.75314925042178
P00009,U07,C,C-B02,3975.2061545193346,4275.206154519335,4455.206154519335,S004,6280.391645987125,6.176858606791459,59.0,0.156,22.789267415106764
P00107,U01,A,A-B01,4236.729366664508,4536.729366664508,4596.729366664508,S013→S010,6246.722821993932,2.2463659463996954,16.0,0.056,50.08075674667343
P00077,U04,A,A-B03,4763.707098558193,5063.707098558193,5123.707098558193,S011,5987.242960627733,1.1554653973561329,17.0,0.039,74.32299116986371
P00080,U03,A,A-B04,5127.013590048056,5427.013590048056,5457.013590048056,S011,6290.549452117595,1.1047520546707181,8.0,0.028,75.4499543406507
