货箱编号,服务区编号,架次编号,质量（kg）,交付完成时刻（s）
S001-MED-01,S001,P00001,3.0,1248.8983708492733
S001-MED-02,S001,P00001,3.0,1248.8983708492733
S001-WAT-01,S001,P00001,14.0,1248.8983708492733
S001-WAT-02,S001,P00001,14.0,1248.8983708492733
S001-WAT-03,S001,P00001,14.0,1248.8983708492733
S001-WAT-04,S001,P00001,14.0,1248.8983708492733
S001-WAT-05,S001,P00001,14.0,1248.8983708492733
S001-WAT-06,S001,P00002,14.0,1314.8983708492733
S001-WAT-07,S001,P00002,14.0,1314.8983708492733
S001-WAT-08,S001,P00002,14.0,1314.8983708492733
S001-FOD-01,S001,P00002,8.0,1314.8983708492733
S001-FOD-02,S001,P00002,8.0,1314.8983708492733
S001-FOD-03,S001,P00002,8.0,1314.8983708492733
S001-HYG-01,S001,P00002,6.0,1314.8983708492733
S001-HYG-02,S001,P00002,6.0,1314.8983708492733
S002-MED-01,S002,P00003,3.0,3181.8850209328707
S002-WAT-01,S002,P00003,14.0,3181.8850209328707
S002-FOD-01,S002,P00003,8.0,3181.8850209328707
S002-WAT-02,S002,P00005,14.0,3274.9140632912695
S002-WAT-03,S002,P00005,14.0,3274.9140632912695
S002-WAT-04,S002,P00005,14.0,3274.9140632912695
S002-FOD-02,S002,P00005,8.0,3274.9140632912695
S002-HYG-01,S002,P00005,6.0,3274.9140632912695
S004-MED-01,S004,P00009,3.0,4865.562745733895
S004-WAT-01,S004,P00009,14.0,4865.562745733895
S004-WAT-02,S004,P00009,14.0,4865.562745733895
S004-WAT-03,S004,P00009,14.0,4865.562745733895
S004-FOD-01,S004,P00009,8.0,4865.562745733895
S004-HYG-01,S004,P00009,6.0,4865.562745733895
S005-MED-01,S005,P00010,3.0,6960.657808548026
S005-WAT-01,S005,P00010,14.0,6960.657808548026
S005-WAT-02,S005,P00010,14.0,6960.657808548026
S005-WAT-03,S005,P00010,14.0,6960.657808548026
S005-FOD-01,S005,P00010,8.0,6960.657808548026
S005-HYG-01,S005,P00010,6.0,6960.657808548026
S006-MED-01,S006,P00011,3.0,2772.0769426369816
S006-WAT-01,S006,P00011,14.0,2772.0769426369816
S006-WAT-02,S006,P00011,14.0,2772.0769426369816
S006-WAT-03,S006,P00011,14.0,2772.0769426369816
S006-FOD-01,S006,P00011,8.0,2772.0769426369816
S006-HYG-01,S006,P00011,6.0,2772.0769426369816
S009-MED-01,S009,P00014,3.0,4933.979895273555
S009-WAT-01,S009,P00014,14.0,4933.979895273555
S009-FOD-01,S009,P00014,8.0,4933.979895273555
S011-MED-01,S011,P00018,3.0,2888.0020689489093
S011-WAT-01,S011,P00018,14.0,2888.0020689489093
S011-FOD-01,S011,P00018,8.0,2888.0020689489093
S012-MED-01,S012,P00020,3.0,1326.8307003260588
S012-WAT-01,S012,P00020,14.0,1326.8307003260588
S012-FOD-01,S012,P00020,8.0,1326.8307003260588
S014-MED-01,S014,P00024,3.0,1241.8558906011892
S014-WAT-01,S014,P00024,14.0,1241.8558906011892
S014-FOD-01,S014,P00024,8.0,1241.8558906011892
S015-MED-01,S015,P00026,3.0,6845.227050508005
S015-WAT-01,S015,P00026,14.0,6845.227050508005
S015-FOD-01,S015,P00026,8.0,6845.227050508005
S008-MED-01,S008,P00028,3.0,6696.171722663816
S008-WAT-01,S008,P00028,14.0,6696.171722663816
S008-FOD-01,S008,P00028,8.0,6696.171722663816
S008-WAT-02,S008,P00030,14.0,4742.171722663816
S008-HYG-01,S008,P00030,6.0,4742.171722663816
S003-MED-01,S003,P00041,3.0,6637.112665531692
S003-WAT-01,S003,P00041,14.0,6637.112665531692
S003-WAT-02,S003,P00044,14.0,6795.365429056213
S003-WAT-03,S003,P00044,14.0,6795.365429056213
S003-WAT-04,S003,P00044,14.0,6795.365429056213
S003-FOD-01,S003,P00044,8.0,6795.365429056213
S003-FOD-02,S003,P00044,8.0,6795.365429056213
S003-HYG-01,S003,P00044,6.0,6795.365429056213
S007-MED-01,S007,P00057,3.0,2957.299319868095
S007-WAT-01,S007,P00057,14.0,2957.299319868095
S010-MED-01,S010,P00071,3.0,1239.4634512744037
S010-WAT-01,S010,P00071,14.0,1239.4634512744037
S013-MED-01,S013,P00089,3.0,1083.5455873948292
S013-WAT-01,S013,P00089,14.0,1083.5455873948292
S010-FOD-01,S010,P00107,8.0,1483.603337388353
S013-FOD-01,S013,P00107,8.0,1076.5455873948292
S007-WAT-02,S007,P00272,14.0,2963.299319868095
S007-FOD-01,S007,P00275,8.0,6355.299319868095
S007-HYG-01,S007,P00278,6.0,2963.299319868095
