架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,准备完成时刻（s）,装载完成/起飞时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,质量（kg）,体积（m³）,返航SOC（%）
Q23-001,U04,A,A-B06,0.0,300.0,390.0,S001,1312.4715825390365,1.2679999605907624,20.0,0.051000000000000004,71.82222309798306
Q23-002,U07,C,C-B01,0.0,300.0,540.0,S001,1627.4267416985467,3.004662059347582,78.0,0.23500000000000001,62.44172425815522
Q23-003,U08,C,C-B02,0.0,300.0,420.0,S001,1363.4267416985467,2.4121359166308616,56.0,0.108,69.84830104211423
Q23-004,U02,A,A-B05,0.0,300.0,360.0,S002,2007.7326591437006,2.9291056520786074,17.0,0.039,34.90876328714205
Q23-005,U08,C,C-B02,3436.0,3736.0,3916.0,S002,5547.008126582538,6.12498843027008,64.0,0.17200000000000001,23.437644621624
Q23-006,U02,A,A-B05,3704.0,4004.0,4064.0,S003,5966.278664396717,2.98110828373102,17.0,0.039,33.75314925042178
Q23-007,U08,C,C-B04,5548.0,5848.0,6028.0,S003,7983.810858112425,6.1476824567455175,64.0,0.17200000000000001,23.153969290681033
Q23-008,U06,B,B-B02,5827.0,6127.0,6187.0,S004,7752.77243604787,2.5863165225912823,17.0,0.039,35.34208693521794
Q23-009,U07,C,C-B03,5791.0,6091.0,6211.0,S004,7964.185491467791,5.539956839091937,42.0,0.117,30.750539511350784
Q23-010,U02,A,A-B03,2008.0,2308.0,2368.0,S005,3703.7593252437628,2.129487386151858,17.0,0.039,52.678058085514266
Q23-011,U07,C,C-B04,1628.0,1928.0,2048.0,S005,3376.0456170960524,3.801896648845467,42.0,0.117,52.47629188943166
Q23-012,U03,A,A-B02,2655.0,2955.0,3015.0,S006,3967.6157157640037,1.3095542466968424,17.0,0.039,70.89879451784795
Q23-013,U04,A,A-B02,4847.0,5147.0,5207.0,S008,7023.205884825228,3.211521065175303,17.0,0.039,28.632865218326607
Q23-014,U08,C,C-B03,1364.0,1664.0,1754.0,S008,3435.759889419427,5.42136436523035,28.0,0.09,32.23294543462063
Q23-015,U05,B,B-B04,6631.0,6931.0,6991.0,S011,7760.6308045644855,0.9674261894713756,17.0,0.039,75.81434526321561
Q23-016,U01,A,A-B01,0.0,300.0,330.0,S011,1163.5358620695392,1.1047520546707181,8.0,0.028,75.4499543406507
Q23-017,U05,B,B-B03,0.0,300.0,360.0,S012,1863.8014006521175,2.471727988536909,17.0,0.039,38.20680028657728
Q23-018,U01,A,A-B01,2322.0,2622.0,2682.0,S014,4310.962351014692,2.287579462141669,17.0,0.039,49.164900841296244
Q23-019,U04,A,A-B06,2180.0,2480.0,2540.0,S015,4150.211232633944,2.475682947936683,17.0,0.039,44.984823379184824
Q23-020,U01,A,A-B01,5472.0,5772.0,5832.0,S013→S010,7481.993455329423,2.2463659463996954,16.0,0.056,50.08075674667343
Q23-021,U06,B,B-B02,0.0,300.0,390.0,S010→S014,2115.40334600042,2.2682580251475897,25.0,0.067,43.293549371310256
Q23-022,U06,B,B-B04,2421.0,2721.0,2811.0,S007→S015,4519.481447098818,2.356604955996895,25.0,0.067,41.08487610007763
Q23-023,U05,B,B-B01,2503.0,2803.0,2893.0,S013→S009,4462.89784429327,2.447597924329428,25.0,0.067,38.810051891764296
Q23-024,U05,B,B-B03,4463.0,4763.0,4853.0,S009→S012,6630.896402439148,2.8458399643237655,25.0,0.067,28.854000891905862
Q23-025,U07,C,C-B01,3377.0,3677.0,3887.0,S006→S007,5790.779412820788,4.28806196620504,70.0,0.20700000000000002,46.399225422437
