架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,准备完成时刻（s）,装载完成/起飞时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,质量（kg）,体积（m³）,返航SOC（%）
P00001,U07,C,C-B01,0.0,300.0,510.0,S001,1561.4267416985467,2.9262373909118784,76.0,0.159,63.42203261360152
P00002,U08,C,C-B02,0.0,300.0,540.0,S001,1627.4267416985467,3.004662059347582,78.0,0.23500000000000001,62.44172425815522
P00009,U07,C,C-B02,3976.0,4276.0,4456.0,S004,6281.185491467791,6.176858606791459,59.0,0.156,22.789267415106764
P00014,U06,B,B-B04,2196.0,2496.0,2586.0,S009,3756.7797905471098,2.102431078237294,25.0,0.067,47.439223044067646
P00020,U05,B,B-B01,0.0,300.0,390.0,S012,1923.8014006521175,2.7551934702444854,25.0,0.067,31.120163243887866
P00024,U05,B,B-B03,1924.0,2224.0,2314.0,S014,3792.5984478690452,2.1372327174195584,25.0,0.067,46.56918206451104
P00026,U06,B,B-B02,4065.0,4365.0,4455.0,S015,5894.574101016009,2.3108457316251445,25.0,0.067,42.228856709371385
P00028,U05,B,B-B01,3793.0,4093.0,4183.0,S008,5758.890111994297,2.9859801601513647,25.0,0.067,25.350495996215884
P00030,U06,B,B-B02,290.0,590.0,650.0,S008,2195.890111994297,2.7734260330711873,20.0,0.062,30.664349173220316
P00037,U04,A,A-B04,0.0,300.0,360.0,S002,2007.7326591437009,2.9291056520786074,17.0,0.039,34.90876328714205
P00040,U08,C,C-B04,1628.0,1928.0,2108.0,S002,3739.0081265825384,6.12498843027008,64.0,0.17200000000000001,23.437644621624
P00041,U03,A,A-B05,3943.0,4243.0,4303.0,S003,6205.278664396717,2.98110828373102,17.0,0.039,33.75314925042178
P00044,U08,C,C-B01,3740.0,4040.0,4220.0,S003,6175.810858112425,6.1476824567455175,64.0,0.17200000000000001,23.153969290681033
P00049,U02,A,A-B04,3364.0,3664.0,3724.0,S005,5059.759325243764,2.129487386151858,17.0,0.039,52.678058085514266
P00053,U02,A,A-B02,0.0,300.0,360.0,S006,1312.6157157640037,1.3095542466968424,17.0,0.039,70.89879451784795
P00057,U01,A,A-B05,1164.0,1464.0,1524.0,S007,2891.3186397361906,1.9050428648829452,17.0,0.039,57.665714113712326
P00071,U04,A,A-B02,2193.0,2493.0,2553.0,S010,3846.853569215474,1.9524999797660452,17.0,0.039,56.61111156075456
P00077,U02,A,A-B02,5060.0,5360.0,5420.0,S011,6283.535862069539,1.1554653973561329,17.0,0.039,74.32299116986371
P00080,U01,A,A-B01,0.0,300.0,330.0,S011,1163.5358620695392,1.1047520546707181,8.0,0.028,75.4499543406507
P00089,U03,A,A-B01,1984.0,2284.0,2344.0,S013,3596.024508122992,1.9577132427346737,17.0,0.039,56.495261272562814
P00107,U04,A,A-B06,4038.0,4338.0,4398.0,S013→S010,6047.993455329423,2.2463659463996954,16.0,0.056,50.08075674667343
P00118,U07,C,C-B03,1562.0,1862.0,2072.0,S006→S007,3975.779412820788,4.28806196620504,70.0,0.20700000000000002,46.399225422437
P00236,U01,A,A-B01,4663.0,4963.0,4993.0,S005,6298.759325243764,2.093987597530181,14.0,0.027,53.46694227710709
P00239,U01,A,A-B03,2892.0,3192.0,3222.0,S005,4527.759325243764,2.093987597530181,14.0,0.027,53.46694227710709
P00242,U02,A,A-B06,1313.0,1613.0,1643.0,S005,2948.759325243763,2.0380207423943815,8.0,0.028,54.71065016901375
P00245,U03,A,A-B03,0.0,300.0,330.0,S005,1635.7593252437632,2.023649969671369,6.0,0.035,55.03000067396958
