架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,准备完成时刻（s）,装载完成/起飞时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,质量（kg）,体积（m³）,返航SOC（%）
P00003,U06,B,B-B03,1093.0,1393.0,1483.0,S002,2912.8900418657418,2.72189802120557,25.0,0.067,31.95254946986075
P00005,U08,C,C-B02,0.0,300.0,450.0,S002,2045.0081265825384,5.739333605245894,56.0,0.14400000000000002,28.258329934426328
P00009,U07,C,C-B01,4042.0,4342.0,4522.0,S004,6347.185491467791,6.176858606791459,59.0,0.156,22.789267415106764
P00014,U06,B,B-B03,4760.0,5060.0,5150.0,S009,6320.77979054711,2.102431078237294,25.0,0.067,47.439223044067646
P00020,U05,B,B-B04,1907.0,2207.0,2297.0,S012,3830.8014006521175,2.7551934702444854,25.0,0.067,31.120163243887866
P00026,U06,B,B-B02,2913.0,3213.0,3303.0,S015,4742.574101016009,2.3108457316251445,25.0,0.067,42.228856709371385
P00028,U05,B,B-B01,3831.0,4131.0,4221.0,S008,5796.890111994297,2.9859801601513647,25.0,0.067,25.350495996215884
P00030,U05,B,B-B01,1.0,301.0,361.0,S008,1906.890111994297,2.7734260330711873,20.0,0.062,30.664349173220316
P00032,U01,A,A-B01,0.0,300.0,390.0,S001,1312.4715825390365,1.2679999605907624,20.0,0.051000000000000004,71.82222309798306
P00035,U07,C,C-B01,0.0,300.0,540.0,S001,1627.4267416985467,3.004662059347582,78.0,0.23500000000000001,62.44172425815522
P00041,U03,A,A-B06,4032.0,4332.0,4392.0,S003,6294.278664396717,2.98110828373102,17.0,0.039,33.75314925042178
P00044,U08,C,C-B04,2060.0,2360.0,2540.0,S003,4495.810858112425,6.1476824567455175,64.0,0.17200000000000001,23.153969290681033
P00049,U02,A,A-B05,3241.0,3541.0,3601.0,S005,4936.759325243764,2.129487386151858,17.0,0.039,52.678058085514266
P00052,U08,C,C-B02,4496.0,4796.0,4916.0,S005,6244.045617096052,3.801896648845467,42.0,0.117,52.47629188943166
P00053,U02,A,A-B02,0.0,300.0,360.0,S006,1312.6157157640037,1.3095542466968424,17.0,0.039,70.89879451784795
P00057,U04,A,A-B02,2387.0,2687.0,2747.0,S007,4114.318639736191,1.9050428648829452,17.0,0.039,57.665714113712326
P00071,U01,A,A-B06,1313.0,1613.0,1673.0,S010,2966.853569215474,1.9524999797660452,17.0,0.039,56.61111156075456
P00077,U02,A,A-B01,4937.0,5237.0,5297.0,S011,6160.535862069539,1.1554653973561329,17.0,0.039,74.32299116986371
P00080,U01,A,A-B02,5166.0,5466.0,5496.0,S011,6329.535862069539,1.1047520546707181,8.0,0.028,75.4499543406507
P00089,U03,A,A-B01,2180.0,2480.0,2540.0,S013,3792.024508122992,1.9577132427346737,17.0,0.039,56.495261272562814
P00095,U03,A,A-B03,0.0,300.0,360.0,S014,1988.9623510146916,2.287579462141669,17.0,0.039,49.164900841296244
P00098,U04,A,A-B04,4115.0,4415.0,4445.0,S014,6043.962351014692,2.185331428906382,8.0,0.028,51.43707935763595
P00107,U01,A,A-B03,3150.0,3450.0,3510.0,S013→S010,5159.993455329423,2.2463659463996954,16.0,0.056,50.08075674667343
P00118,U07,C,C-B03,1628.0,1928.0,2138.0,S006→S007,4041.779412820788,4.28806196620504,70.0,0.20700000000000002,46.399225422437
P00137,U02,A,A-B04,2048.0,2348.0,2378.0,S001,3240.4715825390367,1.22305291301593,14.0,0.027,72.82104637742377
P00140,U04,A,A-B05,1194.0,1494.0,1524.0,S001,2386.4715825390367,1.22305291301593,14.0,0.027,72.82104637742377
P00144,U06,B,B-B02,2.0,302.0,332.0,S001,1092.3578716627396,1.0098607131961077,14.0,0.027,74.75348217009731
P00146,U04,A,A-B04,1.0,301.0,331.0,S001,1193.4715825390365,1.22305291301593,14.0,0.027,72.82104637742377
