电池编号,机型编号,架次编号,任务占用开始（s）,返航释放（s）,返航SOC（%）,充电开始（s）,充电完成（s）
A-B01,A,P00032,0.0,1312.4715825390365,71.82222309798306,1312.4715825390365,2178.782682265257
A-B01,A,P00089,2180.0,3792.024508122992,56.495261272562814,3792.024508122992,4857.586111579675
A-B01,A,P00077,4937.0,6160.535862069539,74.32299116986371,6160.535862069539,6994.33697686131
A-B02,A,P00053,0.0,1312.6157157640037,70.89879451784795,1312.6157157640037,2190.93138703198
A-B02,A,P00057,2387.0,4114.318639736191,57.665714113712326,4114.318639736191,5164.66435625793
A-B02,A,P00080,5166.0,6329.535862069539,75.4499543406507,6329.535862069539,7148.68645564108
A-B03,A,P00095,0.0,1988.9623510146916,49.164900841296244,1988.9623510146916,3149.8186400778404
A-B03,A,P00107,3150.0,5159.993455329423,50.08075674667343,5159.993455329423,6308.943617622669
A-B04,A,P00146,1.0,1193.4715825390365,72.82104637742377,1193.4715825390365,2046.7979796325276
A-B04,A,P00137,2048.0,3240.4715825390367,72.82104637742377,3240.4715825390367,4093.7979796325276
A-B04,A,P00098,4115.0,6043.962351014692,51.43707935763595,6043.962351014692,7175.2803193654245
A-B05,A,P00140,1194.0,2386.4715825390367,72.82104637742377,2386.4715825390367,3239.7979796325276
A-B05,A,P00049,3241.0,4936.759325243764,52.678058085514266,4936.759325243764,6051.944570132078
A-B06,A,P00071,1313.0,2966.853569215474,56.61111156075456,2966.853569215474,4030.909118925665
A-B06,A,P00041,4032.0,6294.278664396717,33.75314925042178,6294.278664396717,7655.487724141234
B-B01,B,P00030,1.0,1906.890111994297,30.664349173220316,1906.890111994297,3775.374726325145
B-B01,B,P00028,3831.0,5796.890111994297,25.350495996215884,5796.890111994297,7757.481514726554
B-B02,B,P00144,2.0,1092.3578716627396,74.75348217009731,1092.3578716627396,2196.630847381053
B-B02,B,P00026,2913.0,4742.574101016009,42.228856709371385,4742.574101016009,6410.607251386905
B-B03,B,P00003,1093.0,2912.8900418657418,31.95254946986075,2912.8900418657418,4759.045851054822
B-B03,B,P00014,4760.0,6320.77979054711,47.439223044067646,6320.77979054711,7898.499924449938
B-B04,B,P00020,1907.0,3830.8014006521175,31.120163243887866,3830.8014006521175,5691.3852377580615
C-B01,C,P00035,0.0,1627.4267416985467,62.44172425815522,1627.4267416985467,3274.522716105184
C-B01,C,P00009,4042.0,6347.185491467791,22.789267415106764,6347.185491467791,8853.418030807145
C-B02,C,P00005,0.0,2045.0081265825384,28.258329934426328,2045.0081265825384,4432.744311336634
C-B02,C,P00052,4496.0,6244.045617096052,52.47629188943166,6244.045617096052,8107.0592928250335
C-B03,C,P00118,1628.0,4041.779412820788,46.399225422437,4041.779412820788,6036.46286200132
C-B04,C,P00044,2060.0,4495.810858112425,23.153969290681033,4495.810858112425,6994.141523481003
