sortie,name,start_s,end_s,start_node,end_node,start_altitude_m,end_altitude_m
P00009,leg1-climb,4544.0,4652.2156665039065,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",127.7,398.2391662597656
P00009,leg1-cruise,4652.2156665039065,5168.593162604013,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}",398.2391662597656,398.2391662597656
P00009,leg1-descent,5168.593162604013,5253.562745733896,"{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}","{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}",398.2391662597656,228.3
P00009,S004-handoff,5253.562745733896,5649.562745733896,"{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}","{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}",228.3,228.3
P00009,leg2-climb,5649.562745733896,5717.538412237802,"{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}","{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}",228.3,398.2391662597656
P00009,leg2-cruise,5717.538412237802,6233.915908337908,"{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",398.2391662597656,398.2391662597656
P00009,leg2-descent,6233.915908337908,6369.185491467791,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",398.2391662597656,127.7
P00014,leg1-climb,4202.0,4257.176304117838,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",127.7,293.2289123535156
P00014,leg1-cruise,4257.176304117838,4638.688330332148,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'S009', 'longitude': 109.2541424, 'latitude': 23.0552989, 'elevation_m': 200.0}",293.2289123535156,293.2289123535156
P00014,leg1-descent,4638.688330332148,4663.979895273555,"{'code': 'S009', 'longitude': 109.2541424, 'latitude': 23.0552989, 'elevation_m': 200.0}","{'code': 'S009', 'longitude': 109.2541424, 'latitude': 23.0552989, 'elevation_m': 200.0}",293.2289123535156,230.0
P00014,S009-handoff,4663.979895273555,4903.979895273555,"{'code': 'S009', 'longitude': 109.2541424, 'latitude': 23.0552989, 'elevation_m': 200.0}","{'code': 'S009', 'longitude': 109.2541424, 'latitude': 23.0552989, 'elevation_m': 200.0}",230.0,230.0
P00014,leg2-climb,4903.979895273555,4925.056199391393,"{'code': 'S009', 'longitude': 109.2541424, 'latitude': 23.0552989, 'elevation_m': 200.0}","{'code': 'S009', 'longitude': 109.2541424, 'latitude': 23.0552989, 'elevation_m': 200.0}",230.0,293.2289123535156
P00014,leg2-cruise,4925.056199391393,5306.568225605703,"{'code': 'S009', 'longitude': 109.2541424, 'latitude': 23.0552989, 'elevation_m': 200.0}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",293.2289123535156,293.2289123535156
P00014,leg2-descent,5306.568225605703,5372.77979054711,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",293.2289123535156,127.7
P00018,leg1-climb,5763.0,5818.887251790365,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",127.7,295.36175537109375
P00018,leg1-cruise,5818.887251790365,6006.697366800472,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'S011', 'longitude': 109.2203356, 'latitude': 23.0319231, 'elevation_m': 182.1}",295.36175537109375,295.36175537109375
P00018,leg1-descent,6006.697366800472,6040.002068948909,"{'code': 'S011', 'longitude': 109.2203356, 'latitude': 23.0319231, 'elevation_m': 182.1}","{'code': 'S011', 'longitude': 109.2203356, 'latitude': 23.0319231, 'elevation_m': 182.1}",295.36175537109375,212.1
P00018,S011-handoff,6040.002068948909,6280.002068948909,"{'code': 'S011', 'longitude': 109.2203356, 'latitude': 23.0319231, 'elevation_m': 182.1}","{'code': 'S011', 'longitude': 109.2203356, 'latitude': 23.0319231, 'elevation_m': 182.1}",212.1,212.1
P00018,leg2-climb,6280.002068948909,6307.755987405941,"{'code': 'S011', 'longitude': 109.2203356, 'latitude': 23.0319231, 'elevation_m': 182.1}","{'code': 'S011', 'longitude': 109.2203356, 'latitude': 23.0319231, 'elevation_m': 182.1}",212.1,295.36175537109375
P00018,leg2-cruise,6307.755987405941,6495.566102416048,"{'code': 'S011', 'longitude': 109.2203356, 'latitude': 23.0319231, 'elevation_m': 182.1}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",295.36175537109375,295.36175537109375
P00018,leg2-descent,6495.566102416048,6562.6308045644855,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",295.36175537109375,127.7
P00020,leg1-climb,452.0,547.200331624349,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",127.7,413.3009948730469
P00020,leg1-cruise,547.200331624349,1040.43030237684,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'S012', 'longitude': 109.2831357, 'latitude': 23.054464, 'elevation_m': 249.8}",413.3009948730469,413.3009948730469
P00020,leg1-descent,1040.43030237684,1093.8307003260588,"{'code': 'S012', 'longitude': 109.2831357, 'latitude': 23.054464, 'elevation_m': 249.8}","{'code': 'S012', 'longitude': 109.2831357, 'latitude': 23.054464, 'elevation_m': 249.8}",413.3009948730469,279.8
P00020,S012-handoff,1093.8307003260588,1333.8307003260588,"{'code': 'S012', 'longitude': 109.2831357, 'latitude': 23.054464, 'elevation_m': 249.8}","{'code': 'S012', 'longitude': 109.2831357, 'latitude': 23.054464, 'elevation_m': 249.8}",279.8,279.8
P00020,leg2-climb,1333.8307003260588,1378.3310319504078,"{'code': 'S012', 'longitude': 109.2831357, 'latitude': 23.054464, 'elevation_m': 249.8}","{'code': 'S012', 'longitude': 109.2831357, 'latitude': 23.054464, 'elevation_m': 249.8}",279.8,413.3009948730469
